start	end	pos_1	strand	genes	promoter
1329252	1329252	1329252	+	sohB; yciK	
1330713	1330713	1330713	-	topA; yciN	
1330790	1330790	1330790	+	topA; yciN	
1330881	1330881	1330881	+	topA; yciN	
1333762	1333762	1333762	+	cysB	
1334925	1334925	1334925	-	ymiA; yciX; ymiC	
1335079	1335079	1335079	+	acnA; ymiA; yciX; ymiC	
1335091	1335091	1335091	+	acnA; ymiA; yciX; ymiC	
1335782	1335782	1335782	+	acnA; ymiA; yciX; ymiC	
1339189	1339189	1339189	-	pgpB; ribA	
1339233	1339233	1339233	-	pgpB; ribA	
1339310	1339310	1339310	+	pgpB; ribA	
1340187	1340187	1340187	+	lapB; lapA	
1341871	1341871	1341871	+	pyrF; yciH	
1343368	1343368	1343368	-	osmB; yciH	
1344305	1344305	1344305	+	yciZ; ymiD; yciT	
1344636	1344636	1344636	-	yciZ; ymiD; yciT	
1345106	1345106	1345106	+	yciZ; ymiD; yciT; pdeR	
1346842	1346842	1346842	-	ymiB; pdeR	
1348940	1348940	1348940	-	rnb	
1349128	1349128	1349128	-	rnb; yciW	
1350052	1350052	1350052	+	yciW	
1351120	1351120	1351120	-	fabI; ycjD	
1357411	1357411	1357411	-	sapA; ymjA	
1357698	1357698	1357698	-	sapA; ymjA	
1360966	1360966	1360966	-	puuA; puuD	
1361053	1361053	1361053	+	puuA; puuD	
1367943	1367943	1367943	-	pspA; pspF	
1368040	1368040	1368040	+	pspA; pspB; pspF	
1369663	1369663	1369663	+	pspC; pspD; pspE; ycjM	
1383919	1383919	1383919	+	ycjW; ycjX	
1383988	1383988	1383988	-	ycjW; ycjX	
1388843	1388843	1388843	-	tpx; ycjG	
1390622	1390622	1390622	-	ymjC; ymjD; mpaA	
1391653	1391653	1391653	+	ymjC; ymjD; ycjY; pgrR	
1391897	1391897	1391897	-	ycjY; pgrR	
1393197	1393197	1393197	+	mppA	
1395972	1395972	1395972	-	ynaI; insH4	
1397330	1397330	1397330	+	ynaJ	
1398658	1398658	1398658	-	uspE	
1399551	1399551	1399551	-	fnr; ogt	
1405750	1405750	1405750	-	mcaS; smrA	
1405811	1405811	1405811	-	mcaS; smrA	
1405955	1405955	1405955	+	mcaS; smrA	
1407868	1407868	1407868	-	ynaN; dgcM; zntB	
1407962	1407962	1407962	+	ynaN; dgcM; zntB	
1408028	1408028	1408028	+	ynaN; dgcM; zntB	
1412452	1412452	1412452	-	ttcA; intR	
1420240	1420240	1420240	-	ydaG; racR; ydaS; ydaT	
1423721	1423721	1423721	-	trkG; rzoR; rzpR	
1426972	1426972	1426972	-	ynaA	
1434527	1434527	1434527	+	ttcC; ynaM; ynaE	
1435640	1435640	1435640	-	ttcC; uspF	
1435690	1435690	1435690	-	ttcC; uspF	
1440771	1440771	1440771	-	ydbJ; ydbK	
1440844	1440844	1440844	-	ydbJ; ydbK	
1441024	1441024	1441024	+	ydbJ; ydbK; hslJ	
1441776	1441776	1441776	-	ydbJ; hslJ	
1442950	1442950	1442950	-	ldhA; ydbH	
1442964	1442964	1442964	+	ldhA; ydbH	
1447344	1447344	1447344	+	feaR; feaB	
1447348	1447348	1447348	-	feaR; feaB	
1448677	1448677	1448677	+	feaB	
1463511	1463511	1463511	+	paaX	
1474190	1474190	1474190	+	pdxI	
1482903	1482903	1482903	-	azoR; hrpA	
1483015	1483015	1483015	+	azoR; hrpA	
1487168	1487168	1487168	+	ydcF	
1488192	1488192	1488192	+	aldA	
1490752	1490752	1490752	-	cybB; rydC; gapC	
1490877	1490877	1490877	+	cybB; rydC; gapC	
1492120	1492120	1492120	+	trg; ydcA; rydC; yncP; hokB; sokB; mokB	
1492304	1492304	1492304	-	trg; ydcA; rydC; yncP; hokB; sokB; mokB	
1495115	1495115	1495115	-	ydcI; ydcJ	
1495145	1495145	1495145	-	ydcI; ydcJ	
1495266	1495266	1495266	+	ydcI; ydcJ	
1496770	1496770	1496770	+	opgD	
1500470	1500470	1500470	-	tehA; ydcK	
1500484	1500484	1500484	+	tehA; ydcK	
1502429	1502429	1502429	+	ydcL	
1506757	1506757	1506757	+	ydcO; sutR; rlhA	
1509137	1509137	1509137	-	hicA; yncJ; G6748; hicB	
1509276	1509276	1509276	+	hicA; yncJ; G6748; hicB; ydcR	
1511597	1511597	1511597	+	ydcS	
1517217	1517217	1517217	-	yncL; ortT; ydcY	
1517613	1517613	1517613	+	yncL; ortT; ydcY; ydcZ	
1518860	1518860	1518860	-	ydcZ; mnaT; curA	
1518875	1518875	1518875	-	ydcZ; mnaT; curA	
1519000	1519000	1519000	+	ydcZ; mnaT; curA	
1520135	1520135	1520135	+	mcbR	
1523195	1523195	1523195	+	pqqU; yncE	
1526093	1526093	1526093	-	ansP; yncG	
1526237	1526237	1526237	+	ansP; yncG; yncH	
1532993	1532993	1532993	+	pptA	
1533874	1533874	1533874	-	yddH; nhoA	
1534000	1534000	1534000	+	yddH; nhoA	
1535877	1535877	1535877	-	narV; yddE	
1544145	1544145	1544145	-	narU; yddJ	
1547206	1547206	1547206	-	fdnG; yddG	
1552711	1552711	1552711	-	C0362; yddM	
1553898	1553898	1553898	-	adhP	
1555738	1555738	1555738	-	maeA; sra; bdm	
1556047	1556047	1556047	-	osmC; maeA; sra; bdm	
1556338	1556338	1556338	-	osmC; maeA; sra; bdm	
1556598	1556598	1556598	+	osmC; sra; bdm	
1563195	1563195	1563195	-	ddpA; ddpX	
1567294	1567294	1567294	-	yddY; dosC	
1568849	1568849	1568849	-	digH	
1572072	1572072	1572072	-	gadB	
1592479	1592479	1592479	-	hipB; hipA	
1601423	1601423	1601423	-	lsrR; lsrA	
1601431	1601431	1601431	+	lsrR; lsrA	
1611918	1611918	1611918	-	dgcF; yneG	
1614726	1614726	1614726	-	sad; ptrR	
1618939	1618939	1618939	-	marA; marR; marC	
1619094	1619094	1619094	+	marA; marR; marC	
1621523	1621523	1621523	-	eamA; ydeE	
1622588	1622588	1622588	+	mgrR; mgtT; mgtS	
1622913	1622913	1622913	-	mgrR; mgtT; mgtS	
1623876	1623876	1623876	-	dgcZ; ydeI	
1624525	1624525	1624525	-	dgcZ; ydeI; ydeJ	
1624558	1624558	1624558	+	dgcZ; ydeI; ydeJ	
1627475	1627475	1627475	-	dcp; ydfG	
1627492	1627492	1627492	+	dcp; ydfG	
1628327	1628327	1628327	+	rspR	
1637845	1637845	1637845	-	ynfQ; ynfR; ydfO; gnsB; ynfN	
1641714	1641714	1641714	-	cspB; cspF; ynfS	
1641832	1641832	1641832	+	cspB; cspF; ynfS	
1642421	1642421	1642421	-	cspF; ynfS	
1642864	1642864	1642864	-	ynfS; ydfT	
1644978	1644978	1644978	-	rem; hokD; relE; ydfU	
1645900	1645900	1645900	-	relB; hokD; relE; ydfV; flxA	
1646147	1646147	1646147	+	relB; relE; ydfV; flxA	
1647118	1647118	1647118	-	dicC; flxA; ydfW; ydfX	
1647932	1647932	1647932	+	dicA; dicC; ydfA; ydfB; ydfW; ydfX	
1652969	1652969	1652969	+	ynfP; rspB	
1655679	1655679	1655679	+	rspA; ynfA; ynfB; speG	
1655706	1655706	1655706	-	rspA; ynfA; ynfB; speG	
1655710	1655710	1655710	+	rspA; ynfA; ynfB; speG	
1657543	1657543	1657543	+	ynfC; ynfD; ynfE	
1657706	1657706	1657706	-	ynfC; ynfD; ynfE	
1659237	1659237	1659237	-	ynfE	
1659306	1659306	1659306	-	ynfE	
1664167	1664167	1664167	+	ynfH; dmsD	
1665811	1665811	1665811	-	clcB	
1669940	1669940	1669940	-	ynfL; ynfM	
1671132	1671132	1671132	-	ydgU; G0-10698; asr	
1671899	1671899	1671899	-	ydgU; G0-10698; asr; ydgD	
1671917	1671917	1671917	+	ydgU; G0-10698; asr; ydgD	
1673777	1673777	1673777	-	mdtU; mdtI; mdtJ; tqsA	
1678007	1678007	1678007	+	pntA; ydgH	
1678017	1678017	1678017	-	pntA; ydgH	
1678371	1678371	1678371	+	pntA; ydgH	
1680762	1680762	1680762	+	ydgI; folM	
1682059	1682059	1682059	-	ydgC; rstA	
1684234	1684234	1684234	+	tus	
1688446	1688446	1688446	-	fumA; manA	
1688552	1688552	1688552	+	fumA; manA	
1689795	1689795	1689795	+	ydgA	
1697073	1697073	1697073	-	uidR	
1698121	1698121	1698121	-	hdhA	
1699315	1699315	1699315	+	malI; malX	
1699485	1699485	1699485	-	malI; malX	
1704330	1704330	1704330	-	blr; ydgJ; cnu	
1704513	1704513	1704513	+	blr; ydgJ; cnu; ydgK	
1705218	1705218	1705218	+	blr; cnu; ydgK; rsxA	
1705340	1705340	1705340	-	blr; cnu; ydgK; rsxA	
1705745	1705745	1705745	+	cnu; ydgK; rsxA; rsxB	
1712886	1712886	1712886	-	dtpA	
1714353	1714353	1714353	+	gstA	
1718033	1718033	1718033	-	pdxH; mliC	
1719692	1719692	1719692	-	anmK; slyB	
1719752	1719752	1719752	+	anmK; slyB	
1719832	1719832	1719832	+	anmK; slyB	
1720895	1720895	1720895	-	slyA; ydhI; ydhJ	
1721291	1721291	1721291	-	slyA; ydhI; ydhJ	
1721335	1721335	1721335	-	slyA; ydhI; ydhJ; ydhK	
1724679	1724679	1724679	-	sodC	
1725654	1725654	1725654	-	ydhF; ydhL; nemR	
1725944	1725944	1725944	-	ydhF; ydhL; nemR; nemA	
1726024	1726024	1726024	+	ydhF; ydhL; nemR; nemA	
1734188	1734188	1734188	-	grxD; mepH	
1734382	1734382	1734382	+	grxD; mepH	
1735326	1735326	1735326	+	sodB	
1737584	1737584	1737584	-	purR; cydH; ydhP	
1737689	1737689	1737689	+	purR; cydH; ydhP	
1739881	1739881	1739881	+	punR; punC	
1741202	1741202	1741202	+	cfa	
1743377	1743377	1743377	+	ribC; mdtK	
1743455	1743455	1743455	-	ribC; mdtK	
1743503	1743503	1743503	-	ribC; mdtK	
1746163	1746163	1746163	-	valV; valW; ydhQ; ydhR	
1746415	1746415	1746415	+	valV; valW; ydhQ; ydhR; ydhS	
1746674	1746674	1746674	+	valV; valW; ydhQ; ydhR; ydhS	
1747092	1747092	1747092	+	valV; valW; ydhR; ydhS	
1755164	1755164	1755164	-	pykF; ynhH; ydhY; fumD	
1755470	1755470	1755470	+	pykF; ynhH; fumD	
1755601	1755601	1755601	+	pykF; ynhH; fumD	
1757384	1757384	1757384	+	lpp	
1757394	1757394	1757394	-	lpp	
1758863	1758863	1758863	-	ldtE; sufE	
1764499	1764499	1764499	-	sufA; rydB; sufB; ydiH	
1764768	1764768	1764768	-	sufA; rydB; sufB; ydiH	
1765144	1765144	1765144	-	sufA; rydB; ydiH; menI	
1768737	1768737	1768737	+	ydiJ; ydiK	
1768913	1768913	1768913	-	ydiJ; ydiK	
1769013	1769013	1769013	+	ydiJ; ydiK	
1774572	1774572	1774572	+	aroD; ydiB	
1779615	1779615	1779615	-	ydiP; ydiQ; ydiR	
1787160	1787160	1787160	-	ppsA; ppsR	
1787422	1787422	1787422	+	ppsA; ppsR	
1788385	1788385	1788385	+	aroH	
1791253	1791253	1791253	-	selO; rflP	
1792155	1792155	1792155	-	nlpC; rflP	
1792758	1792758	1792758	-	nlpC; rflP	
1794142	1794142	1794142	-	btuD; btuE	
1795176	1795176	1795176	-	btuC; ihfA	
1795720	1795720	1795720	-	btuC; ihfA; pheT	
1796090	1796090	1796090	-	ihfA; pheT	
1799119	1799119	1799119	-	pheS; rplT; pheM	
1799301	1799301	1799301	-	pheS; rplT; rpmI; pheM	
1800818	1800818	1800818	-	infC; thrS	
1802731	1802731	1802731	-	thrS; arpB	
1806169	1806169	1806169	-	pfkB; ydiY	
1806353	1806353	1806353	+	pfkB; ydiY	
1807376	1807376	1807376	+	ydiZ; yniA	
1809280	1809280	1809280	+	yniB; hxpB	
1809321	1809321	1809321	-	yniB; hxpB	
1809325	1809325	1809325	+	yniB; hxpB	
1810883	1810883	1810883	+	ydjM; tcyP	
1813814	1813814	1813814	+	katE; ydjO; cedA	
1813856	1813856	1813856	+	katE; ydjO; cedA	
1821725	1821725	1821725	-	osmE; chbB; chbC; nadE	
1821747	1821747	1821747	-	osmE; chbB; chbC; nadE	
1822282	1822282	1822282	-	osmE; chbB; nadE	
1822429	1822429	1822429	+	osmE; nadE	
1825194	1825194	1825194	-	ves; spy	
1825317	1825317	1825317	-	ves; spy	
1825688	1825688	1825688	-	ves; spy	
1832033	1832033	1832033	+	xthA; astC	
1832038	1832038	1832038	-	xthA; astC	
1833915	1833915	1833915	-	ydjX; ydjY	
1841409	1841409	1841409	-	ynjF; nudG; ynjH	
1842306	1842306	1842306	+	gdhA; ynjH	
1848701	1848701	1848701	-	selD; sppA; ydjA	
1848793	1848793	1848793	+	selD; sppA; ydjA	
1850838	1850838	1850838	+	ansA	
1854885	1854885	1854885	-	ydjF	
1862464	1862464	1862464	-	gapA; msrB; yeaC	
1862527	1862527	1862527	+	gapA; msrB; yeaC	
1862598	1862598	1862598	+	gapA; msrB; yeaC	
1866505	1866505	1866505	-	mipA; yeaG	
1866705	1866705	1866705	+	mipA; yeaG	
1866748	1866748	1866748	+	mipA; yeaG	
1871972	1871972	1871972	+	dgcJ	
1875579	1875579	1875579	-	nimR; nimT	
1876738	1876738	1876738	+	nimT; yeaO; yoaF	
1876878	1876878	1876878	+	yeaO; yoaF	
1877668	1877668	1877668	+	yeaO; yoaF; dgcP	
1878783	1878783	1878783	+	yoaJ; yoaK; yeaQ	
1879297	1879297	1879297	-	yoaJ; yoaK; yeaQ; yoaG; yeaR	
1881848	1881848	1881848	-	dmlR; dmlA	
1889806	1889806	1889806	-	fadD; yeaY	
1890559	1890559	1890559	-	yeaY; tsaB	
1891294	1891294	1891294	-	yeaY; tsaB	
1893254	1893254	1893254	-	yoaA; yoaB	
1893282	1893282	1893282	+	yoaA; yoaB	
1893337	1893337	1893337	+	yoaA; yoaB; yoaC	
1893866	1893866	1893866	+	yoaA; yoaB; yoaC	
1894018	1894018	1894018	+	pabB; yoaA; yoaB; yoaC; yoaH	
1894758	1894758	1894758	+	pabB; yoaC; yoaH	
1895248	1895248	1895248	-	pabB; yoaH	
1895650	1895650	1895650	-	pabB; nudL	
1896764	1896764	1896764	+	sdaA; nudL	
1898384	1898384	1898384	+	pdeD	
1901771	1901771	1901771	-	manX; yoaL; yoaE	
1901934	1901934	1901934	+	manX; yoaL; yoaE	
1905463	1905463	1905463	+	yobD; mntP	
1907617	1907617	1907617	-	cspC; rlmA; yobF	
1907793	1907793	1907793	-	cspC; rlmA; yobF; yebO	
1908566	1908566	1908566	-	yobH; yebO; mgrB	
1908791	1908791	1908791	-	yobH; yebO; mgrB	
1908901	1908901	1908901	+	yobH; yebO; mgrB	
1910138	1910138	1910138	-	kdgR; yebQ	
1913081	1913081	1913081	-	htpX; prc	
1915582	1915582	1915582	-	prc; proQ; msrC; letA	
1916165	1916165	1916165	-	proQ; msrC; letA	
1916235	1916235	1916235	+	proQ; msrC; letA	
1920197	1920197	1920197	+	rsmF	
1921728	1921728	1921728	+	yebV; yebW	
1922098	1922098	1922098	+	yebV; yebW	
1923065	1923065	1923065	+	ryeA; sdsR; pphA; yebY	
1923205	1923205	1923205	-	ryeA; sdsR; pphA; yebY	
1925064	1925064	1925064	-	holE; yebZ; yobA; yobB	
1925087	1925087	1925087	+	holE; yebZ; yobA; yobB	
1928720	1928720	1928720	-	ptrB	
1929757	1929757	1929757	-	yebE; yebF	
1930415	1930415	1930415	-	yebE; yebF; yebG; purT	
1930776	1930776	1930776	-	yebF; yebG; purT	
1930858	1930858	1930858	+	yebF; yebG; purT	
1933105	1933105	1933105	-	eda; edd	
1934687	1934687	1934687	-	edd	
1936372	1936372	1936372	+	zwf; yebK	
1936883	1936883	1936883	-	pykA; zwf; yebK	
1937158	1937158	1937158	-	pykA; yebK	
1940227	1940227	1940227	-	lpxM	
1942591	1942591	1942591	+	znuA; znuC	
1942614	1942614	1942614	-	znuA; znuC	
1942635	1942635	1942635	+	znuB; znuA; znuC	
1945450	1945450	1945450	-	yobI; ruvA; ruvB	
1946007	1946007	1946007	-	yebB; yobI; ruvA; ruvB	
1946093	1946093	1946093	-	yebB; yobI; ruvA; ruvB	
1950711	1950711	1950711	-	aspS; yecD; yecE	
1950773	1950773	1950773	+	aspS; yecD; yecE	
1950820	1950820	1950820	-	aspS; yecD; yecE	
1952237	1952237	1952237	+	yecN; cmoA	
1958746	1958746	1958746	-	micL; torY; cutC	
1959981	1959981	1959981	-	argS; cutC; yecM	
1960004	1960004	1960004	+	argS; cutC; yecM	
1962365	1962365	1962365	-	yecV; yecT; flhE	
1978394	1978394	1978394	-	flhC; flhD; asflhD; insB5	
1979721	1979721	1979721	+	insAB5; insB5; insA5; uspC	
1982439	1982439	1982439	-	otsB	
1983896	1983896	1983896	-	araG; araH	
1986308	1986308	1986308	-	araF; ftnB	
1986748	1986748	1986748	+	araF; ftnB; G7034	
1986798	1986798	1986798	+	araF; ftnB; G7034	
1988001	1988001	1988001	-	ftnA; yecJ; azuC; azuR; G7034; yecR	
1988654	1988654	1988654	+	ftnA; azuC; azuR; yecR	
1988683	1988683	1988683	+	ftnA; azuC; azuR; yecR	
1989500	1989500	1989500	-	ftnA; tyrP; yecH	
1989656	1989656	1989656	+	tyrP; yecH	
1992182	1992182	1992182	-	pgsA; yecA; glyW; leuZ; 3'ETS-<i>leuZ</i>; cysT	
1995402	1995402	1995402	-	uvrC; uvrY; yecF; yecU	
1995769	1995769	1995769	+	uvrY; yecF; yecU	
1996881	1996881	1996881	+	sdiA; sdsN	
1999507	1999507	1999507	-	dcyD	
2000467	2000467	2000467	-	fliZ; tcyJ	
2006133	2006133	2006133	+	amyA; fliT	
2008119	2008119	2008119	-	yedD; yedE	
2008241	2008241	2008241	+	yedD; yedE	
2009803	2009803	2009803	+	yedF; yedK; yedL	
2024841	2024841	2024841	-	dsrB; yodD; dsrA; yedP	
2024928	2024928	2024928	+	dsrB; yodD; dsrA; yedP	
2025309	2025309	2025309	-	dsrB; yodD; dsrA; yedP	
2029388	2029388	2029388	-	yedA; yedI	
2032340	2032340	2032340	-	dcm; yedJ	
2033416	2033416	2033416	-	yedJ; rseX; drpB; yedS	
2034026	2034026	2034026	+	rseX; drpB; yedS	
2035632	2035632	2035632	+	hchA	
2035781	2035781	2035781	+	hchA	
2038822	2038822	2038822	-	hprS; hprR; hiuH; msrP	
2038939	2038939	2038939	+	hprS; hprR; hiuH; msrP	
2039413	2039413	2039413	+	hprR; hiuH; msrP	
2041328	2041328	2041328	-	zinT	
2041341	2041341	2041341	+	zinT	
2042816	2042816	2042816	+	serU; yodB	
2043416	2043416	2043416	+	serU; mtfA	
2043565	2043565	2043565	-	serU; mtfA	
2043605	2043605	2043605	+	serU; mtfA	
2043609	2043609	2043609	-	serU; mtfA	
2053567	2053567	2053567	+	yeeL; shiA	
2056799	2056799	2056799	+	yeeN	
2058112	2058112	2058112	-	asnW	
2059689	2059689	2059689	-	asnU; yeeO	
2059842	2059842	2059842	+	asnU; yeeO	
2060939	2060939	2060939	-	cbl	
2062229	2062229	2062229	-	asnV; nac	
2063364	2063364	2063364	-	ldtA	
2065846	2065846	2065846	-	cobS; cobU; yeeH	
2065986	2065986	2065986	-	cobS; cobU; yeeH	
2067985	2067985	2067985	+	yoeH; yoeG; insH6	
2068181	2068181	2068181	-	yoeH; yoeG	
2068482	2068482	2068482	-	yoeH; yoeG	
2070245	2070245	2070245	+	insCD3; insD3; insC3; yeeP	
2078355	2078355	2078355	+	yoeF; yoeD; cbtA; yeeW	
2079673	2079673	2079673	-	yeeA; yoeJ; tmaR	
2079828	2079828	2079828	-	yeeA; yoeJ; tmaR	
2081325	2081325	2081325	-	yeeA; sbmC	
2082724	2082724	2082724	+	sbcB; dacD	
2085551	2085551	2085551	-	tsuA	
2087236	2087236	2087236	-	plaP; yoeI	
2088488	2088488	2088488	-	yeeY; yeeZ	
2089732	2089732	2089732	-	hisG; hisL; yefM; yoeB; yeeZ	
2089966	2089966	2089966	+	hisG; hisL; yefM; yoeB	
2098330	2098330	2098330	-	wzzB	
2101324	2101324	2101324	-	gnd; gndA	
2113232	2113232	2113232	-	rfbB	
2114351	2114351	2114351	-	galF	
2137823	2137823	2137823	+	wza; yegH	
2137864	2137864	2137864	+	wza; yegH	
2142278	2142278	2142278	-	asmA; dcd; udk	
2143003	2143003	2143003	-	dcd; udk; dgcE	
2143233	2143233	2143233	+	udk; dgcE	
2147653	2147653	2147653	+	alkA; yegD	
2153312	2153312	2153312	+	ibsB; ibsA; sibA; sibB; yegL; mdtA	
2153647	2153647	2153647	+	ibsB; ibsA; sibA; sibB; yegL; mdtA	
2154004	2154004	2154004	+	ibsB; ibsA; sibA; sibB; mdtA	
2164247	2164247	2164247	+	baeS; baeR	
2165133	2165133	2165133	+	yegP; trhP	
2165277	2165277	2165277	+	yegP; trhP	
2167114	2167114	2167114	+	cyaR; ogrK; yegZ	
2167547	2167547	2167547	-	cyaR; ogrK; yegZ; G7121; yegR	
2168346	2168346	2168346	-	yegZ; G7121; yegR; yegS	
2168686	2168686	2168686	+	G7121; yegR; yegS	
2177233	2177233	2177233	-	gatY	
2178629	2178629	2178629	-	fbaB; yegT	
2185450	2185450	2185450	-	rcnR; rcnA; thiM	
2185809	2185809	2185809	-	rcnR; rcnA; thiM	
2185867	2185867	2185867	+	rcnR; rcnA; thiM	
2186863	2186863	2186863	+	rcnB	
2186914	2186914	2186914	+	rcnB	
2192842	2192842	2192842	-	yehD; yehE	
2192877	2192877	2192877	-	yehD; yehE	
2194199	2194199	2194199	-	metG; mrp	
2194270	2194270	2194270	+	metG; mrp	
2214671	2214671	2214671	-	btsS; mlrA	
2214841	2214841	2214841	+	btsS; mlrA	
2215638	2215638	2215638	+	mlrA; yohO	
2219522	2219522	2219522	-	osmF	
2222139	2222139	2222139	-	dld; bglX	
2222155	2222155	2222155	+	dld; bglX	
2224940	2224940	2224940	-	pbpG; yohC	
2225663	2225663	2225663	-	pbpG; yohC; yohD	
2225778	2225778	2225778	+	yohC; yohD	
2227297	2227297	2227297	-	yohF	
2228959	2228959	2228959	+	mdtQ; yohP	
2230460	2230460	2230460	-	dusC; yohJ; yohK	
2230496	2230496	2230496	+	dusC; yohJ; yohK	
2231194	2231194	2231194	+	cdd; yohJ; yohK	
2231667	2231667	2231667	+	cdd; yohK	
2233975	2233975	2233975	+	yeiS; preT	
2240566	2240566	2240566	-	mglB	
2241709	2241709	2241709	-	galS	
2243760	2243760	2243760	+	yeiB; folE; yeiG	
2243798	2243798	2243798	-	folE; yeiG	
2243882	2243882	2243882	+	folE; yeiG	
2246930	2246930	2246930	-	cirA	
2248559	2248559	2248559	-	lysP	
2248637	2248637	2248637	-	lysP	
2249540	2249540	2249540	-	yeiH; yeiE	
2249967	2249967	2249967	-	yeiH; yeiE	
2249980	2249980	2249980	+	yeiH; yeiE	
2262440	2262440	2262440	-	fruK; fruB	
2263594	2263594	2263594	-	setB; fruB	
2265027	2265027	2265027	+	setB; efpL; yeiW	
2266227	2266227	2266227	+	efpL; yeiQ	
2267798	2267798	2267798	+	yeiR	
2269811	2269811	2269811	+	mepS	
2272314	2272314	2272314	+	yejA	
2273901	2273901	2273901	+	yejA; yejB	
2278397	2278397	2278397	-	yejG; G0-10700	
2278465	2278465	2278465	-	yejG; G0-10700	
2278488	2278488	2278488	+	yejG; G0-10700	
2280543	2280543	2280543	-	bcr; rsuA; radD	
2282441	2282441	2282441	+	rplY	
2283964	2283964	2283964	+	yejL; yejK; lapC	
2283967	2283967	2283967	-	yejL; yejK; lapC	
2286206	2286206	2286206	+	proL	
2290365	2290365	2290365	+	narP; insH8	
2292225	2292225	2292225	+	ccmH; ccmG	
2303577	2303577	2303577	-	eco; napF; napD; yojO	
2303861	2303861	2303861	+	eco; napF; yojO	
2304020	2304020	2304020	+	eco; napF; yojO	
2306805	2306805	2306805	-	mqo	
2308667	2308667	2308667	-	alkB; yojI	
2312827	2312827	2312827	-	ompC; rcsD; micF	
2313085	2313085	2313085	+	ompC; rcsD; micF	
2313139	2313139	2313139	-	ompC; rcsD; micF	
2313418	2313418	2313418	+	ompC; rcsD; micF	
2315620	2315620	2315620	+	rcsB; rcsD	
2320128	2320128	2320128	-	rcsC; atoS	
2321112	2321112	2321112	-	atoS; atoC	
2327502	2327502	2327502	-	yfaP	
2339457	2339457	2339457	-	gyrA; ubiG	
2339540	2339540	2339540	+	gyrA; ubiG	
2344759	2344759	2344759	+	nrdA; yfaL; ypaB	
2347065	2347065	2347065	+	nrdA; nrdB; yoaM	
2349522	2349522	2349522	-	inaA; yfaH	
2352450	2352450	2352450	-	glpA; glpT	
2352609	2352609	2352609	+	glpA; glpT	
2357553	2357553	2357553	+	rpnE; ypaA	
2363654	2363654	2363654	-	yfaY; yfaZ	
2364445	2364445	2364445	-	yfaZ; nudI	
2365686	2365686	2365686	+	ais; arnB	
2365814	2365814	2365814	+	ais; arnB	
2372271	2372271	2372271	+	arnE; arnT; arnF	
2373571	2373571	2373571	-	arnF; pmrD	
2377002	2377002	2377002	-	menB; menH	
2380664	2380664	2380664	-	menF; elaB	
2381052	2381052	2381052	-	menF; elaB; elaA; rbn	
2381562	2381562	2381562	-	elaB; elaA; rbn	
2381583	2381583	2381583	+	elaB; elaA; rbn	
2382443	2382443	2382443	+	rbn; elaD	
2385405	2385405	2385405	+	yfbK; yfbL	
2405377	2405377	2405377	-	nuoA; nuoB	
2405441	2405441	2405441	+	nuoA	
2405813	2405813	2405813	-	nuoA; lrhA	
2405827	2405827	2405827	-	nuoA; lrhA	
2406819	2406819	2406819	-	lrhA; alaA	
2407510	2407510	2407510	+	alaA	
2411378	2411378	2411378	-	yfbS; hxpA	
2412645	2412645	2412645	-	hxpA; yfbU; yfbV	
2413248	2413248	2413248	+	ackA; yfbU; yfbV	
2413754	2413754	2413754	-	ackA; yfbV	
2420509	2420509	2420509	-	yfcE; yfcF; yfcG	
2420593	2420593	2420593	+	yfcF; yfcG; folX	
2421300	2421300	2421300	+	yfcG; folX; yfcH	
2426836	2426836	2426836	-	hisJ	
2427937	2427937	2427937	-	argT; ubiX	
2430798	2430798	2430798	-	cvpA; purF	
2432017	2432017	2432017	-	dedD; folC	
2432032	2432032	2432032	-	dedD; folC	
2433975	2433975	2433975	-	dedA; accD	
2434272	2434272	2434272	-	dedA; accD	
2435323	2435323	2435323	-	dedA; truA	
2436891	2436891	2436891	-	usg; pdxB	
2437888	2437888	2437888	-	flk; pdxB	
2437910	2437910	2437910	+	flk; pdxB	
2441640	2441640	2441640	-	fabB; mnmC	
2441740	2441740	2441740	+	fabB; mnmC	
2448450	2448450	2448450	+	prmB; smrB	
2448471	2448471	2448471	-	prmB; smrB	
2449715	2449715	2449715	-	yfcO	
2450040	2450040	2450040	-	yfcO; yfcP	
2456915	2456915	2456915	-	sixA	
2460508	2460508	2460508	-	fadL; fadI; yfcZ	
2460824	2460824	2460824	-	fadL; fadI; yfcZ	
2461206	2461206	2461206	+	fadL; fadI; yfcZ	
2461262	2461262	2461262	-	fadL; fadI; yfcZ	
2465084	2465084	2465084	-	mlaA; yfdC	
2465134	2465134	2465134	-	mlaA; yfdC	
2465212	2465212	2465212	-	mlaA; yfdC	
2465275	2465275	2465275	+	mlaA; yfdC	
2466305	2466305	2466305	+	argW; intS	
2467308	2467308	2467308	+	intS; yfdG	
2470727	2470727	2470727	+	ryeG; yodE; tfaS; yfdK	
2470732	2470732	2470732	-	ryeG; yodE; tfaS; yfdK	
2476274	2476274	2476274	+	ypdJ; pawZ; torI; yfdS; yfdT	
2483631	2483631	2483631	+	evgA; evgS; evgL; emrK	
2488292	2488292	2488292	-	yfdE	
2495333	2495333	2495333	-	ypdI; yfdY; lpxP	
2495494	2495494	2495494	+	ypdI; yfdY; lpxP	
2496776	2496776	2496776	+	ypdK; tpke70	
